0357T,cryopreservation oocyte(s)
8587,Other repair or reconstruction of nipple
8589,Other mammoplasty
8591,Aspiration of breast
8592,Injection of therapeutic agent into breast
8593,Revision of implant of breast
8594,Removal of implant of breast
8595,Insertion of breast tissue expander
8596,Removal of breast tissue expander
8599,Other operations on the breast
8601,Aspiration of skin and subcutaneous tissue
8602,Injection or tattooing of skin lesion or defect
8603,Incision of pilonidal sinus or cyst
8604,Other incision with drainage of skin and subcutaneous tissue
8605,Incision with removal of foreign body or device from skin and subcutaneous tissue
8606,Insertion of totally implantable infusion pump
8607,Insertion of totally implantable vascular access device [VAD]
8609,Other incision of skin and subcutaneous tissue
8611,Closed biopsy of skin and subcutaneous tissue
8619,Other diagnostic procedures on skin and subcutaneous tissue
8621,Excision of pilonidal cyst or sinus
8622,"Excisional debridement of wound, infection, or burn"
8623,"Removal of nail, nail bed, or nail fold"
8624,Chemosurgery of skin
8625,Dermabrasion
8626,Ligation of dermal appendage
8627,"Debridement of nail, nail bed, or nail fold"
8628,"Nonexcisional debridement of wound, infection or burn"
863,Other local excision or destruction of lesion or tissue of skin and subcutaneous tissue
864,Radical excision of skin lesion
8651,Replantation of scalp
8659,Closure of skin and subcutaneous tissue of other sites
8660,"Free skin graft, not otherwise specified"
8661,Full-thickness skin graft to hand
8662,Other skin graft to hand
8663,Full-thickness skin graft to other sites
8664,Hair transplant
8665,Heterograft to skin
8666,Homograft to skin
8667,Dermal regenerative graft
8669,Other skin graft to other sites
8670,"Pedicle or flap graft, not otherwise specified"
8671,Cutting and preparation of pedicle grafts or flaps
8672,Advancement of pedicle graft
8673,Attachment of pedicle or flap graft to hand
8674,Attachment of pedicle or flap graft to other sites
8675,Revision of pedicle or flap graft
8681,Repair for facial weakness
8682,Facial rhytidectomy
8683,Size reduction plastic operation
8684,Relaxation of scar or web contracture of skin
8685,Correction of syndactyly
8686,Onychoplasty
8687,Fat graft of skin and subcutaneous tissue
8689,Other repair and reconstruction of skin and subcutaneous tissue
8690,Extraction of fat for graft or banking
8691,Excision of skin for graft
8692,Electrolysis and other epilation of skin
8693,Insertion of tissue expander
8694,"Insertion or replacement of single array neurostimulator pulse generator, not specified as rechargeable"
8695,"Insertion or replacement of multiple array neurostimulator pulse generator, not specified as rechargeable"
8696,Insertion or replacement of other neurostimulator pulse generator
8697,Insertion or replacement of single array rechargeable neurostimulator pulse generator
8698,Insertion or replacement of multiple array (two or more) rechargeable neurostimulator pulse generator
8699,Other operations on skin and subcutaneous tissue
8701,Pneumoencephalogram
8702,Other contrast radiogram of brain and skull
8703,Computerized axial tomography of head
8704,Other tomography of head
8705,Contrast dacryocystogram
8706,Contrast radiogram of nasopharynx
8707,Contrast laryngogram
8708,Cervical lymphangiogram
8709,"Other soft tissue x-ray of face, head, and neck"
8711,Full-mouth x-ray of teeth
8712,Other dental x-ray
8713,Temporomandibular contrast arthrogram
8714,Contrast radiogram of orbit
8715,Contrast radiogram of sinus
8716,Other x-ray of facial bones
8717,Other x-ray of skull
8721,Contrast myelogram
8722,Other x-ray of cervical spine
8723,Other x-ray of thoracic spine
8724,Other x-ray of lumbosacral spine
8729,Other x-ray of spine
8731,Endotracheal bronchogram
8732,Other contrast bronchogram
8733,Mediastinal pneumogram
8734,Intrathoracic lymphangiogram
8735,Contrast radiogram of mammary ducts
8736,Xerography of breast
8737,Other mammography
8738,Sinogram of chest wall
8739,Other soft tissue x-ray of chest wall
8741,Computerized axial tomography of thorax
8742,Other tomography of thorax
8743,"X-ray of ribs, sternum, and clavicle"
8744,"Routine chest x-ray, so described"
8749,Other chest x-ray
8751,Percutaneous hepatic cholangiogram
8752,Intravenous cholangiogram
8753,Intraoperative cholangiogram
8754,Other cholangiogram
8759,Other biliary tract x-ray
8761,Barium swallow
8762,Upper GI series
8763,Small bowel series
8764,Lower GI series
8765,Other x-ray of intestine
8766,Contrast pancreatogram
8769,Other digestive tract x-ray
8771,Computerized axial tomography of kidney
8772,Other nephrotomogram
8773,Intravenous pyelogram
8774,Retrograde pyelogram
8775,Percutaneous pyelogram
8776,Retrograde cystourethrogram
8777,Other cystogram
8778,Ileal conduitogram
8779,Other x-ray of the urinary system
8781,X-ray of gravid uterus
8782,Gas contrast hysterosalpingogram
8783,Opaque dye contrast hysterosalpingogram
8784,Percutaneous hysterogram
8785,Other x-ray of fallopian tubes and uterus
8789,Other x-ray of female genital organs
8791,Contrast seminal vesiculogram
8792,Other x-ray of prostate and seminal vesicles
8793,Contrast epididymogram
8794,Contrast vasogram
8795,Other x-ray of epididymis and vas deferens
8799,Other x-ray of male genital organs
8801,Computerized axial tomography of abdomen
8802,Other abdomen tomography
8803,Sinogram of abdominal wall
8804,Abdominal lymphangiogram
8809,Other soft tissue x-ray of abdominal wall
8811,Pelvic opaque dye contrast radiography
8812,Pelvic gas contrast radiography
8813,Other peritoneal pneumogram
8814,Retroperitoneal fistulogram
8815,Retroperitoneal pneumogram
8816,Other retroperitoneal x-ray
8819,Other x-ray of abdomen
8821,Skeletal x-ray of shoulder and upper arm
8822,Skeletal x-ray of elbow and forearm
8823,Skeletal x-ray of wrist and hand
8824,"Skeletal x-ray of upper limb, not otherwise specified"
8825,Pelvimetry
8826,Other skeletal x-ray of pelvis and hip
8827,"Skeletal x-ray of thigh, knee, and lower leg"
8828,Skeletal x-ray of ankle and foot
8829,"Skeletal x-ray of lower limb, not otherwise specified"
8831,Skeletal series
8832,Contrast arthrogram
8833,Other skeletal x-ray
8834,Lymphangiogram of upper limb
8835,Other soft tissue x-ray of upper limb
8836,Lymphangiogram of lower limb
8837,Other soft tissue x-ray of lower limb
8838,Other computerized axial tomography
8839,"X-ray, other and unspecified"
8840,"Arteriography using contrast material, unspecified site"
8841,Arteriography of cerebral arteries
8842,Aortography
8843,Arteriography of pulmonary arteries
8844,Arteriography of other intrathoracic vessels
8845,Arteriography of renal arteries
8846,Arteriography of placenta
8847,Arteriography of other intra-abdominal arteries
8848,Arteriography of femoral and other lower extremity arteries
8849,Arteriography of other specified sites
8850,"Angiocardiography, not otherwise specified"
8851,Angiocardiography of venae cavae
8852,Angiocardiography of right heart structures
8853,Angiocardiography of left heart structures
8854,Combined right and left heart angiocardiography
8855,Coronary arteriography using a single catheter
8856,Coronary arteriography using two catheters
8857,Other and unspecified coronary arteriography
8858,Negative-contrast cardiac roentgenography
8859,Intra-operative coronary fluorescence vascular angiography
8860,"Phlebography using contrast material, unspecified site"
8861,Phlebography of veins of head and neck using contrast material
8862,Phlebography of pulmonary veins using contrast material
8863,Phlebography of other intrathoracic veins using contrast material
8864,Phlebography of the portal venous system using contrast material
8865,Phlebography of other Intra-Abdominal veins using contrast material
8866,Phlebography of femoral and other lower extremity veins using contrast material
8867,Phlebography of other specified sites using contrast material
8868,Impedance phlebography
8871,Diagnostic ultrasound of head and neck
8872,Diagnostic ultrasound of heart
8873,Diagnostic ultrasound of other sites of thorax
8874,Diagnostic ultrasound of digestive system
8875,Diagnostic ultrasound of urinary system
8876,Diagnostic ultrasound of abdomen and retroperitoneum
8877,Diagnostic ultrasound of peripheral vascular system
8878,Diagnostic ultrasound of gravid uterus
8879,Other diagnostic ultrasound
8881,Cerebral thermography
8882,Ocular thermography
8883,Bone thermography
8884,Muscle thermography
8885,Breast thermography
8886,Blood vessel thermography
8889,Thermography of other sites
8890,"Diagnostic imaging, not elsewhere classified"
8891,Magnetic resonance imaging of brain and brain stem
8892,Magnetic resonance imaging of chest and myocardium
8893,Magnetic resonance imaging of spinal canal
8894,Magnetic resonance imaging of musculoskeletal
8895,"Magnetic resonance imaging of pelvis, prostate, and bladder"
8896,Other intraoperative magnetic resonance imaging
8897,Magnetic resonance imaging of other and unspecified sites
8898,Bone mineral density studies
8901,"Interview and evaluation, described as brief"
8902,"Interview and evaluation, described as limited"
8903,"Interview and evaluation, described as comprehensive"
8904,Other interview and evaluation
8905,"Diagnostic interview and evaluation, not otherwise specified"
8906,"Consultation, described as limited"
8907,"Consultation, described as comprehensive"
8908,Other consultation
8909,"Consultation, not otherwise specified"
8910,Intracarotid amobarbital test
8911,Tonometry
8912,Nasal function study
8913,Neurologic examination
8914,Electroencephalogram
8915,Other nonoperative neurologic function tests
8916,Transillumination of newborn skull
8917,Polysomnogram
8918,Other sleep disorder function tests
8919,Video and radio-telemetered electroencephalographic monitoring
8921,Urinary manometry
8922,Cystometrogram
8923,Urethral sphincter electromyogram
8924,Uroflowmetry [UFR]
8925,Urethral pressure profile [UPP]
8926,Gynecological examination
8929,Other nonoperative genitourinary system measurements
8931,Dental examination
8932,Esophageal manometry
8933,Digital examination of enterostomy stoma
8934,Digital examination of rectum
8935,Transillumination of nasal sinuses
8936,Manual examination of breast
8937,Vital capacity determination
8938,Other nonoperative respiratory measurements
8939,Other nonoperative measurements and examinations
8941,Cardiovascular stress test using treadmill
8942,Masters' two-step stress test
8943,Cardiovascular stress test using bicycle ergometer
8944,Other cardiovascular stress test
8945,Artificial pacemaker rate check
8946,Artificial pacemaker artifact wave form check
8947,Artificial pacemaker electrode impedance check
8948,Artificial pacemaker voltage or amperage threshold check
8949,Automatic implantable cardioverter/defibrillator (AICD) check
8950,Ambulatory cardiac monitoring
8951,Rhythm electrocardiogram
8952,Electrocardiogram
8953,Vectorcardiogram (with ECG)
8954,Electrographic monitoring
8955,Phonocardiogram with ECG lead
8956,Carotid pulse tracing with ECG lead
8957,Apexcardiogram (with ECG lead)
8958,Plethysmogram
8959,Other nonoperative cardiac and vascular measurements
8960,Continuous intra-arterial blood gas monitoring
8961,Systemic arterial pressure monitoring
8962,Central venous pressure monitoring
8963,Pulmonary artery pressure monitoring
8964,Pulmonary artery wedge monitoring
8965,Measurement of systemic arterial blood gases
8966,Measurement of mixed venous blood gases
8967,Monitoring of cardiac output by oxygen consumption technique
8968,Monitoring of cardiac output by other technique
8969,Monitoring of coronary blood flow
897,General physical examination
898,Autopsy
9001,"Microscopic examination of specimen from nervous system and of spinal fluid, bacterial smear"
9002,"Microscopic examination of specimen from nervous system and of spinal fluid, culture"
9003,"Microscopic examination of specimen from nervous system and of spinal fluid, culture and sensitivity"
9004,"Microscopic examination of specimen from nervous system and of spinal fluid, parasitology"
9005,"Microscopic examination of specimen from nervous system and of spinal fluid, toxicology"
9006,"Microscopic examination of specimen from nervous system and of spinal fluid, cell block and Papanicolaou smear"
9009,"Microscopic examination of specimen from nervous system and of spinal fluid, other microscopic examination"
9011,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, bacterial smear"
9012,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, culture"
9013,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, culture and sensitivity"
9014,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, parasitology"
9015,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, toxicology"
9016,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, cell block and Papanicolaou smear"
9019,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, other microscopic examination"
9021,"Microscopic examination of specimen from eye, bacterial smear"
9022,"Microscopic examination of specimen from eye, culture"
9023,"Microscopic examination of specimen from eye, culture and sensitivity"
9024,"Microscopic examination of specimen from eye, parasitology"
9025,"Microscopic examination of specimen from eye, toxicology"
9026,"Microscopic examination of specimen from eye, cell block and Papanicolaou smear"
9029,"Microscopic examination of specimen from eye, other microscopic examination"
9031,"Microscopic examination of specimen from ear, nose, throat, and larynx, bacterial smear"
9032,"Microscopic examination of specimen from ear, nose, throat, and larynx, culture"
9033,"Microscopic examination of specimen from ear, nose, throat, and larynx, culture and sensitivity"
9034,"Microscopic examination of specimen from ear, nose, throat, and larynx, parasitology"
9035,"Microscopic examination of specimen from ear, nose, throat, and larynx, toxicology"
9036,"Microscopic examination of specimen from ear, nose, throat, and larynx, cell block and Papanicolaou smear"
9039,"Microscopic examination of specimen from ear, nose, throat, and larynx, other microscopic examination"
9041,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, bacterial smear"
9042,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, culture"
9043,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, culture and sensitivity"
9044,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, parasitology"
9045,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, toxicology"
9046,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, cell block and Papanicolaou smear"
9049,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, other microscopic examination"
9051,"Microscopic examination of blood, bacterial smear"
9052,"Microscopic examination of blood, culture"
9053,"Microscopic examination of blood, culture and sensitivity"
9054,"Microscopic examination of blood, parasitology"
9055,"Microscopic examination of blood, toxicology"
9056,"Microscopic examination of blood, cell block and Papanicolaou smear"
9059,"Microscopic examination of blood, other microscopic examination"
9061,"Microscopic examination of specimen from spleen and of bone marrow, bacterial smear"
9062,"Microscopic examination of specimen from spleen and of bone marrow, culture"
9063,"Microscopic examination of specimen from spleen and of bone marrow, culture and sensitivity"
9064,"Microscopic examination of specimen from spleen and of bone marrow, parasitology"
9065,"Microscopic examination of specimen from spleen and of bone marrow, toxicology"
9066,"Microscopic examination of specimen from spleen and of bone marrow, cell block and Papanicolaou smear"
9069,"Microscopic examination of specimen from spleen and of bone marrow, other microscopic examination"
9071,"Microscopic examination of specimen from lymph node and of lymph, bacterial smear"
9072,"Microscopic examination of specimen from lymph node and of lymph, culture"
9073,"Microscopic examination of specimen from lymph node and of lymph, culture and sensitivity"
9074,"Microscopic examination of specimen from lymph node and of lymph, parasitology"
9075,"Microscopic examination of specimen from lymph node and of lymph, toxicology"
9076,"Microscopic examination of specimen from lymph node and of lymph, cell block and Papanicolaou smear"
9079,"Microscopic examination of specimen from lymph node and of lymph, other microscopic examination"
9081,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, bacterial smear"
9082,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, culture"
9083,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, culture and sensitivity"
9084,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, parasitology"
9085,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, toxicology"
9086,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, cell block and Papanicolaou smear"
9089,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, other microscopic examination"
9091,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, bacterial smear"
9092,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, culture"
9093,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, culture and sensitivity"
9094,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, parasitology"
9095,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, toxicology"
9096,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, cell block and Papanicolaou smear"
9099,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, other microscopic examination"
9101,"Microscopic examination of specimen from liver, biliary tract, and pancreas, bacterial smear"
9102,"Microscopic examination of specimen from liver, biliary tract, and pancreas, culture"
9103,"Microscopic examination of specimen from liver, biliary tract, and pancreas, culture and sensitivity"
9104,"Microscopic examination of specimen from liver, biliary tract, and pancreas, parasitology"
9105,"Microscopic examination of specimen from liver, biliary tract, and pancreas, toxicology"
9106,"Microscopic examination of specimen from liver, biliary tract, and pancreas, cell block and Papanicolaou smear"
9109,"Microscopic examination of specimen from liver, biliary tract, and pancreas, other microscopic examination"
9111,"Microscopic examination of peritoneal and retroperitoneal specimen, bacterial smear"
9112,"Microscopic examination of peritoneal and retroperitoneal specimen, culture"
9113,"Microscopic examination of peritoneal and retroperitoneal specimen, culture and sensitivity"
9114,"Microscopic examination of peritoneal and retroperitoneal specimen, parasitology"
9115,"Microscopic examination of peritoneal and retroperitoneal specimen, toxicology"
9116,"Microscopic examination of peritoneal and retroperitoneal specimen, cell block and Papanicolaou smear"
9119,"Microscopic examination of peritoneal and retroperitoneal specimen, other microscopic examination"
9121,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, bacterial smear"
9122,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, culture"
9123,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, culture and sensitivity"
9124,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, parasitology"
9125,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, toxicology"
9126,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, cell block and Papanicolaou smear"
9129,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, other microscopic examination"
9131,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, bacterial smear"
9132,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, culture"
9133,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, culture and sensitivity"
9134,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, parasitology"
9135,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, toxicology"
9136,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, cell block and Papanicolaou smear"
9139,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, other microscopic examination"
9141,"Microscopic examination of specimen from female genital tract, bacterial smear"
9142,"Microscopic examination of specimen from female genital tract, culture"
9143,"Microscopic examination of specimen from female genital tract, culture and sensitivity"
9144,"Microscopic examination of specimen from female genital tract, parasitology"
9145,"Microscopic examination of specimen from female genital tract, toxicology"
9146,"Microscopic examination of specimen from female genital tract, cell block and Papanicolaou smear"
9149,"Microscopic examination of specimen from female genital tract, other microscopic examination"
9151,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, bacterial smear"
9152,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture"
9153,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture and sensitivity"
9154,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, parasitology"
9155,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, toxicology"
9156,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, cell block and Papanicolaou smear"
9159,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, other microscopic examination"
9161,"Microscopic examination of specimen from skin and other integument, bacterial smear"
9162,"Microscopic examination of specimen from skin and other integument, culture"
9163,"Microscopic examination of specimen from skin and other integument, culture and sensitivity"
9164,"Microscopic examination of specimen from skin and other integument, parasitology"
9165,"Microscopic examination of specimen from skin and other integument, toxicology"
9166,"Microscopic examination of specimen from skin and other integument, cell block and Papanicolaou smear"
9169,"Microscopic examination of specimen from skin and other integument, other microscopic examination"
9171,"Microscopic examination of specimen from operative wound, bacterial smear"
9172,"Microscopic examination of specimen from operative wound, culture"
9173,"Microscopic examination of specimen from operative wound, culture and sensitivity"
9174,"Microscopic examination of specimen from operative wound, parasitology"
9175,"Microscopic examination of specimen from operative wound, toxicology"
9176,"Microscopic examination of specimen from operative wound, cell block and Papanicolaou smear"
9179,"Microscopic examination of specimen from operative wound, other microscopic examination"
9181,"Microscopic examination of specimen from other site, bacterial smear"
9182,"Microscopic examination of specimen from other site, culture"
9183,"Microscopic examination of specimen from other site, culture and sensitivity"
9184,"Microscopic examination of specimen from other site, parasitology"
9185,"Microscopic examination of specimen from other site, toxicology"
9186,"Microscopic examination of specimen from other site, cell block and Papanicolaou smear"
9189,"Microscopic examination of specimen from other site, other microscopic examination"
9191,"Microscopic examination of specimen from unspecified site, bacterial smear"
9192,"Microscopic examination of specimen from unspecified site, culture"
9193,"Microscopic examination of specimen from unspecified site, culture and sensitivity"
9194,"Microscopic examination of specimen from unspecified site, parasitology"
9195,"Microscopic examination of specimen from unspecified site, toxicology"
9196,"Microscopic examination of specimen from unspecified site, cell block and Papanicolaou smear"
9199,"Microscopic examination of specimen from unspecified site, other microscopic examination"
9201,Thyroid scan and radioisotope function studies
9202,Liver scan and radioisotope function study
9203,Renal scan and radioisotope function study
9204,Gastrointestinal scan and radioisotope function study
9205,Cardiovascular and hematopoietic scan and radioisotope function study
9209,Other radioisotope function studies
9211,Cerebral scan
9212,Scan of other sites of head
9213,Parathyroid scan
9214,Bone scan
9215,Pulmonary scan
9216,Scan of lymphatic system
9217,Placental scan
9218,Total body scan
9219,Scan of other sites
9220,Infusion of liquid brachytherapy radioisotope
9221,Superficial radiation
9222,Orthovoltage radiation
9223,Radioisotopic teleradiotherapy
9224,Teleradiotherapy using photons
9225,Teleradiotherapy using electrons
9226,Teleradiotherapy of other particulate radiation
9227,Implantation or insertion of radioactive elements
9228,Injection or instillation of radioisotopes
9229,Other radiotherapeutic procedure
9230,"Stereotactic radiosurgery, not otherwise specified"
9231,Single source photon radiosurgery
9232,Multi-source photon radiosurgery
9233,Particulate radiosurgery
9239,"Stereotactic radiosurgery, not elsewhere classified"
9241,Intra-operative electron radiation therapy
9301,Functional evaluation
9302,Orthotic evaluation
9303,Prosthetic evaluation
9304,Manual testing of muscle function
9305,Range of motion testing
9306,Measurement of limb length
9307,Body measurement
9308,Electromyography
9309,Other diagnostic physical therapy procedure
9311,Assisting exercise
9312,Other active musculoskeletal exercise
9313,Resistive exercise
9314,Training in joint movements
9315,Mobilization of spine
9316,Mobilization of other joints
9317,Other passive musculoskeletal exercise
9318,Breathing exercise
9319,"Exercise, not elsewhere classified"
9321,Manual and mechanical traction
9322,Ambulation and gait training
9323,Fitting of orthotic device
9324,Training in use of prosthetic or orthotic device
9325,Forced extension of limb
9326,Manual rupture of joint adhesions
9327,Stretching of muscle or tendon
9328,Stretching of fascia
9329,Other forcible correction of musculoskeletal deformity
9331,Assisted exercise in pool
9332,Whirlpool treatment
9333,Other hydrotherapy
9334,Diathermy
9335,Other heat therapy
9336,Cardiac retraining
9337,Prenatal training
9338,Combined physical therapy without mention of the components
9339,Other physical therapy
9341,Spinal traction using skull device
9342,Other spinal traction
9343,Intermittent skeletal traction
9344,Other skeletal traction
9345,Thomas' splint traction
9346,Other skin traction of limbs
9351,Application of plaster jacket
9352,Application of neck support
9353,Application of other cast
9354,Application of splint
9355,Dental wiring
9356,Application of pressure dressing
9357,Application of other wound dressing
9358,Application of pressure trousers
9359,"Other immobilization, pressure, and attention to wound"
9361,Osteopathic manipulative treatment for general mobilization
9362,"Osteopathic manipulative treatment using high-velocity, low-amplitude forces"
9363,"Osteopathic manipulative treatment using low- velocity, high-amplitude forces"
9364,"Osteopathic manipulative treatment using isotonic, isometric forces"
9365,Osteopathic manipulative treatment using indirect forces
9366,Osteopathic manipulative treatment to move tissue fluids
9367,Other specified osteopathic manipulative treatment
9371,Dyslexia training
9372,Dysphasia training
9373,Esophageal speech training
9374,Speech defect training
9375,Other speech training and therapy
9376,Training in use of lead dog for the blind
9377,Training in braille or moon
9378,Other rehabilitation for the blind
9381,Recreation therapy
9382,Educational therapy
9383,Occupational therapy
9384,Music therapy
9385,Vocational rehabilitation
9389,"Rehabilitation, not elsewhere classified"
9390,Non-invasive mechanical ventilation
9391,Intermittent positive pressure breathing [IPPB]
9393,Nonmechanical methods of resuscitation
9394,Respiratory medication administered by nebulizer
9395,Hyperbaric oxygenation
9396,Other oxygen enrichment
9397,Decompression chamber
9398,Other control of atmospheric pressure and composition
9399,Other respiratory procedures
9401,Administration of intelligence test
9402,Administration of psychologic test
9403,Character analysis
9408,Other psychologic evaluation and testing
9409,"Psychologic mental status determination, not otherwise specified"
9411,Psychiatric mental status determination
9412,"Routine psychiatric visit, not otherwise specified"
9413,Psychiatric commitment evaluation
9419,Other psychiatric interview and evaluation
9421,Narcoanalysis
9422,Lithium therapy
9423,Neuroleptic therapy
9424,Chemical shock therapy
9425,Other psychiatric drug therapy
9426,Subconvulsive electroshock therapy
9427,Other electroshock therapy
9429,Other psychiatric somatotherapy
9431,Psychoanalysis
9432,Hypnotherapy
9433,Behavior therapy
9434,Individual therapy for psychosexual dysfunction
9435,Crisis intervention
9436,Play psychotherapy
9437,Exploratory verbal psychotherapy
9438,Supportive verbal psychotherapy
9439,Other individual psychotherapy
9441,Group therapy for psychosexual dysfunction
9442,Family therapy
9443,Psychodrama
9444,Other group therapy
9445,Drug addiction counseling
9446,Alcoholism counseling
9449,Other counseling
9451,Referral for psychotherapy
9452,Referral for psychiatric aftercare
9453,Referral for alcoholism rehabilitation
9454,Referral for drug addiction rehabilitation
9455,Referral for vocational rehabilitation
9459,Referral for other psychologic rehabilitation
9461,Alcohol rehabilitation
9462,Alcohol detoxification
9463,Alcohol rehabilitation and detoxification
9464,Drug rehabilitation
9465,Drug detoxification
9466,Drug rehabilitation and detoxification
9467,Combined alcohol and drug rehabilitation
9468,Combined alcohol and drug detoxification
9469,Combined alcohol and drug rehabilitation and detoxification
9501,Limited eye examination
9502,Comprehensive eye examination
9503,Extended ophthalmologic work-up
9504,Eye examination under anesthesia
9505,Visual field study
9506,Color vision study
9507,Dark adaptation study
9509,"Eye examination, not otherwise specified"
9511,Fundus photography
9512,Fluorescein angiography or angioscopy of eye
9513,Ultrasound study of eye
9514,X-ray study of eye
9515,Ocular motility study
9516,P32 and other tracer studies of eye
9521,Electroretinogram [ERG]
9522,Electro-oculogram [EOG]
9523,Visual evoked potential [VEP]
9524,Electronystagmogram [ENG]
9525,Electromyogram of eye [EMG]
9526,"Tonography, provocative tests, and other glaucoma testing"
9531,Fitting and dispensing of spectacles
9532,"Prescription, fitting, and dispensing of contact lens"
9533,Dispensing of other low vision aids
9534,Ocular prosthetics
9535,Orthoptic training
9536,Ophthalmologic counseling and instruction
9541,Audiometry
9542,Clinical test of hearing
9543,Audiological evaluation
9544,Clinical vestibular function tests
9545,Rotation tests
9546,Other auditory and vestibular function tests
9547,"Hearing examination, not otherwise specified"
9548,Fitting of hearing aid
9549,Other nonoperative procedures related to hearing
9601,Insertion of nasopharyngeal airway
9602,Insertion of oropharyngeal airway
9603,Insertion of esophageal obturator airway
9604,Insertion of endotracheal tube
9605,Other intubation of respiratory tract
9606,Insertion of Sengstaken tube
9607,Insertion of other (naso-)gastric tube
9608,Insertion of (naso-)intestinal tube
9609,Insertion of rectal tube
9611,Packing of external auditory canal
9614,Vaginal packing
9615,Insertion of vaginal mold
9616,Other vaginal dilation
9617,Insertion of vaginal diaphragm
9618,Insertion of other vaginal pessary
9619,Rectal packing
9621,Dilation of frontonasal duct
9622,Dilation of rectum
9623,Dilation of anal sphincter
9624,Dilation and manipulation of enterostomy stoma
9625,Therapeutic distention of bladder
9626,Manual reduction of rectal prolapse
9627,Manual reduction of hernia
9628,Manual reduction of enterostomy prolapse
9629,Reduction of intussusception of alimentary tract
9631,Gastric cooling
9632,Gastric freezing
9633,Gastric lavage
9634,Other irrigation of (naso-)gastric tube
9635,Gastric gavage
9636,Irrigation of gastrostomy or enterostomy
9637,Proctoclysis
9638,Removal of impacted feces
9639,Other transanal enema
9641,Irrigation of cholecystostomy and other biliary tube
9642,Irrigation of pancreatic tube
9643,"Digestive tract instillation, except gastric gavage"
9644,Vaginal douche
9645,Irrigation of nephrostomy and pyelostomy
9646,Irrigation of ureterostomy and ureteral catheter
9647,Irrigation of cystostomy
9648,Irrigation of other indwelling urinary catheter
9649,Other genitourinary instillation
9651,Irrigation of eye
9652,Irrigation of ear
9653,Irrigation of nasal passages
9654,"Dental scaling, polishing, and debridement"
9655,Tracheostomy toilette
9656,Other lavage of bronchus and trachea
9657,Irrigation of vascular catheter
9658,Irrigation of wound catheter
